24,256905
25,216191
22,194024
27,190845
20,182214
19,161989
17,132911
29,126926
15,96486
30,82657
32,80781
14,78810
23,65540
12,63099
26,62889
21,56910
10,56464
34,46365
9,43727
18,38800
35,36399
16,33973
28,32010
7,30435
37,29610
39,21384
31,21002
0,20074
5,19619
33,18507
11,18122
13,16539
40,15317
4,14690
2,13096
36,12213
6,10922
8,10829
42,9990
1,8120
3,7721
44,6262
38,6111
45,4708
49,4259
47,4175
41,3851
51,3818
52,3274
43,2937
54,2172
-2,1885
46,1825
-1,1625
50,1524
56,1380
48,1271
-5,1260
-4,1189
57,1052
53,733
59,709
-3,661
55,602
-7,596
61,586
62,448
58,415
60,341
-9,312
64,278
63,255
65,243
-10,237
67,228
-6,220
68,218
66,214
-12,200
69,197
-14,192
-8,157
71,156
70,135
-15,125
72,119
-17,115
73,114
-20,109
-19,106
74,86
-11,72
75,67
-16,66
76,60
-18,54
-13,52
77,32
-22,30
78,19
-21,14
80,13
-24,11
79,9
-35,7
-25,5
-23,5
83,4
-47,3
-27,3
82,2
-42,2
-37,2
81,1
-49,1
-48,1
-45,1
-36,1
-32,1
-31,1
-29,1
-26,1
