"(-10, 20)",41629
"(-15, 25)",40445
"(-10, 24)",33613
"(-10, 22)",31768
"(-10, 17)",28876
"(-18, 27)",28197
"(-15, 24)",25793
"(-15, 27)",25404
"(-18, 25)",25279
"(-10, 10)",23829
"(-17, 24)",23203
"(-18, 29)",23171
"(-19, 22)",22789
"(-19, 27)",22489
"(-10, 12)",22416
"(-19, 20)",21701
"(-15, 22)",21696
"(-10, 19)",20464
"(-13, 24)",19757
"(-18, 19)",19615
"(-19, 24)",18140
"(-16, 25)",17275
"(-17, 26)",17010
"(-17, 19)",16709
"(-6, 15)",16648
"(-9, 17)",16481
"(-14, 24)",16061
"(-16, 24)",15725
"(-18, 32)",15267
"(-15, 20)",15201
"(-11, 19)",14505
"(-9, 25)",14489
"(-28, 32)",14211
"(-28, 34)",14088
"(-12, 24)",13920
"(-22, 24)",13911
"(-17, 29)",13795
"(-10, 25)",13708
"(-10, 14)",13578
"(-9, 22)",13457
"(-15, 17)",13445
"(-17, 27)",13041
"(-11, 20)",12790
"(-15, 19)",12757
"(-13, 22)",12733
"(-23, 25)",12694
"(-18, 22)",12627
"(-19, 25)",12465
"(-8, 24)",12306
"(-12, 22)",12001
"(-16, 30)",11604
"(-18, 20)",11449
"(-6, 20)",11409
"(-11, 23)",11023
"(-6, 14)",10931
"(-24, 30)",10657
"(-9, 9)",10524
"(-19, 23)",10398
"(-6, 17)",10342
"(-24, 27)",10159
"(-9, 27)",10043
"(-21, 24)",10022
"(-24, 25)",10006
"(-10, 21)",9986
"(-10, 27)",9741
"(-9, 15)",9684
"(-16, 19)",9604
"(-9, 18)",9577
"(-21, 22)",9432
"(-6, 12)",9334
"(-20, 24)",9281
"(-10, 15)",9177
"(-19, 29)",9158
"(-16, 17)",9125
"(-11, 25)",9068
"(-11, 22)",9025
"(-22, 27)",8807
"(-6, 22)",8756
"(-24, 29)",8734
"(-14, 19)",8672
"(-22, 25)",8525
"(-18, 24)",8496
"(-9, 19)",8426
"(-15, 29)",8412
"(-8, 17)",8363
"(-27, 32)",8356
"(-12, 19)",8245
"(-11, 15)",8172
"(-16, 23)",7820
"(-21, 25)",7770
"(-21, 21)",7716
"(-28, 30)",7696
"(-9, 20)",7691
"(-7, 15)",7689
"(-15, 15)",7642
"(-17, 20)",7498
"(-19, 19)",7461
"(-8, 16)",7350
"(-12, 20)",7334
"(-31, 37)",7328
"(-22, 22)",7305
"(-20, 25)",7271
"(-6, 10)",7267
"(-8, 14)",7226
"(-29, 33)",7208
"(-6, 7)",7154
"(-13, 14)",7146
"(-23, 26)",7121
"(-13, 21)",7038
"(-26, 29)",6976
"(-11, 14)",6901
"(-15, 18)",6899
"(-7, 17)",6889
"(-12, 25)",6870
"(-6, 24)",6836
"(-13, 15)",6793
"(-7, 20)",6761
"(-19, 30)",6745
"(-13, 25)",6742
"(-17, 17)",6690
"(-23, 27)",6498
"(-9, 24)",6492
"(-12, 14)",6465
"(-17, 22)",6374
"(-10, 29)",6364
"(-24, 28)",6288
"(-14, 16)",6207
"(-14, 15)",6148
"(-20, 22)",6099
"(-16, 20)",6096
"(-6, 19)",6074
"(-11, 17)",6042
"(-7, 19)",6023
"(-17, 32)",5987
"(-7, 14)",5959
"(-6, 9)",5935
"(-16, 27)",5907
"(-14, 23)",5875
"(-23, 24)",5850
"(-14, 25)",5771
"(-20, 20)",5770
"(-7, 23)",5653
"(-21, 23)",5650
"(-25, 27)",5643
"(-7, 24)",5610
"(-13, 17)",5585
"(-11, 12)",5524
"(-12, 26)",5520
"(-10, 30)",5518
"(-19, 32)",5472
"(-21, 27)",5471
"(0, 0)",5443
"(-28, 31)",5364
"(-2, 7)",5349
"(-19, 21)",5312
"(-25, 29)",5285
"(-12, 15)",5258
"(-28, 35)",5246
"(-20, 26)",5240
"(-8, 10)",5201
"(-13, 20)",5189
"(-13, 27)",5188
"(-12, 18)",5183
"(-7, 9)",5169
"(-8, 22)",5167
"(-14, 17)",5163
"(-20, 23)",5153
"(-16, 29)",5144
"(-16, 21)",5063
"(-14, 22)",5027
"(-23, 30)",5015
"(-8, 19)",4982
"(-27, 29)",4851
"(-9, 29)",4810
"(-20, 21)",4797
"(-17, 30)",4766
"(-7, 25)",4762
"(-8, 20)",4739
"(-20, 19)",4685
"(-22, 23)",4638
"(-23, 29)",4624
"(-24, 26)",4548
"(-14, 26)",4529
"(0, 1)",4503
"(-6, 25)",4477
"(0, 2)",4477
"(-29, 35)",4473
"(-11, 26)",4457
"(-13, 19)",4442
"(-31, 34)",4426
"(-8, 27)",4382
"(-26, 30)",4361
"(-14, 20)",4323
"(-26, 32)",4317
"(-27, 30)",4173
"(-12, 11)",4169
"(-26, 27)",4167
"(-7, 7)",4123
"(-12, 17)",4113
"(-7, 21)",4109
"(-24, 32)",4089
"(-31, 35)",4029
"(-7, 10)",4014
"(-12, 28)",4005
"(-2, 15)",3922
"(-5, 15)",3922
"(-10, 28)",3902
"(-7, 27)",3880
"(-5, 9)",3865
"(2, 0)",3821
