24,295955
25,254951
27,238680
22,221397
20,200748
19,176962
29,161264
17,147268
30,116501
32,116486
15,109650
14,89770
34,74906
23,72863
26,72802
12,72786
10,64751
21,63815
35,62827
9,54078
37,52768
18,44509
39,44437
16,38997
7,38861
28,37148
40,33356
5,31595
31,29173
0,28956
42,26241
33,25048
2,24666
4,23230
36,22254
11,20533
13,18880
44,15759
45,15134
6,13767
8,13509
38,11143
3,10587
1,10491
47,7636
41,7617
49,6781
43,5364
51,4754
52,3788
46,3524
-2,3236
54,2580
50,1990
-1,1940
48,1820
56,1659
-4,1597
-5,1515
57,1298
59,932
53,799
-3,785
61,732
-7,727
55,665
62,557
58,472
60,386
64,369
-9,367
67,283
63,279
-10,278
66,275
65,256
-6,256
69,249
68,228
-12,225
-14,203
71,181
-8,179
70,138
-15,130
72,122
-17,120
73,115
-20,113
-19,109
74,88
-11,75
75,68
-16,67
76,62
-18,55
-13,55
77,34
-22,30
78,20
80,14
-21,14
79,13
-24,13
86,10
-35,10
-37,7
-25,6
-30,5
-23,5
81,4
82,4
83,4
-34,4
-32,4
-27,4
87,3
-47,3
-39,3
-29,3
84,2
-42,2
-40,2
-38,2
-33,2
-26,2
85,1
88,1
-49,1
-48,1
-45,1
-36,1
-31,1
