"(-19, 20)",10632
"(-10, 12)",10625
"(-15, 25)",9592
"(-15, 35)",9182
"(-10, 10)",8910
"(-10, 14)",8783
"(-19, 24)",8559
"(-18, 19)",8541
"(-15, 27)",8095
"(-15, 37)",8043
"(-19, 22)",8041
"(-19, 30)",7345
"(-19, 27)",7268
"(-28, 34)",7215
"(-24, 30)",7100
"(-10, 20)",6581
"(-19, 19)",6499
"(-24, 32)",6409
"(-19, 25)",6332
"(-19, 32)",6111
"(-28, 32)",6065
"(-10, 22)",5937
"(-15, 17)",5906
"(-31, 37)",5847
"(-10, 24)",5769
"(-18, 29)",5727
"(-10, 17)",5651
"(-18, 25)",5608
"(-10, 15)",5502
"(-14, 24)",5496
"(-18, 27)",5430
"(-17, 19)",5358
"(-22, 27)",5356
"(-15, 19)",5311
"(-15, 20)",5289
"(-7, 10)",5240
"(-24, 35)",5230
"(-6, 12)",5158
"(-6, 10)",5154
"(-15, 24)",5153
"(-23, 25)",5015
"(-22, 24)",4975
"(-13, 24)",4965
"(-15, 32)",4924
"(-24, 29)",4885
"(-28, 35)",4826
"(-6, 5)",4765
"(-15, 22)",4752
"(-15, 34)",4723
"(-17, 24)",4678
"(-19, 17)",4635
"(-27, 32)",4605
"(-15, 39)",4594
"(-23, 30)",4347
"(-10, 9)",4338
"(-24, 25)",4293
"(-21, 19)",4273
"(-28, 30)",4252
"(-6, 7)",4236
"(-11, 15)",4217
"(-9, 15)",4108
"(-8, 14)",3959
"(-22, 25)",3938
"(-32, 40)",3839
"(-21, 25)",3830
"(-22, 20)",3821
"(-24, 27)",3804
"(-10, 7)",3786
"(-20, 25)",3734
"(-20, 19)",3721
"(-9, 9)",3678
"(-22, 34)",3644
"(-26, 34)",3624
"(-10, 19)",3610
"(-16, 19)",3597
"(-32, 37)",3586
"(-18, 22)",3585
"(-15, 15)",3584
"(-10, 27)",3582
"(-22, 22)",3545
"(-32, 39)",3545
"(-19, 29)",3543
"(-17, 26)",3537
"(-31, 39)",3529
"(-23, 27)",3521
"(-8, 10)",3513
"(-9, 17)",3473
"(-28, 27)",3457
"(-10, 25)",3452
"(-21, 24)",3450
"(-10, 30)",3442
"(-17, 27)",3433
"(-11, 14)",3420
"(-15, 36)",3411
"(-24, 34)",3401
"(-19, 23)",3382
"(-32, 36)",3375
"(-23, 34)",3363
"(-19, 15)",3356
"(-20, 24)",3346
"(-16, 24)",3308
"(-27, 35)",3295
"(-14, 19)",3275
"(-24, 20)",3263
"(-13, 17)",3250
"(-16, 25)",3245
"(-37, 42)",3244
"(-26, 29)",3242
"(-14, 32)",3240
"(-18, 32)",3211
"(-13, 29)",3182
"(-7, 11)",3167
"(-16, 27)",3163
"(-13, 14)",3148
"(-12, 36)",3101
"(-16, 17)",3099
"(-21, 27)",3094
"(-17, 29)",3063
"(-14, 37)",3029
"(-21, 22)",3007
"(-15, 18)",3005
"(-6, 9)",3005
"(-14, 16)",2978
"(-23, 26)",2977
"(-20, 26)",2975
"(-20, 27)",2941
"(-16, 34)",2889
"(-9, 11)",2864
"(-18, 20)",2855
"(-11, 17)",2851
"(-13, 22)",2848
"(-12, 15)",2826
"(-10, 29)",2824
"(-13, 15)",2808
"(-12, 22)",2805
"(-19, 34)",2804
"(-30, 36)",2802
"(-12, 17)",2786
"(-31, 34)",2760
"(-11, 12)",2752
"(-9, 14)",2751
"(-28, 40)",2746
"(-7, 13)",2744
"(-6, 15)",2739
"(-30, 35)",2719
"(-14, 15)",2701
"(-6, 4)",2700
"(-15, 29)",2667
"(-6, 14)",2632
"(-29, 33)",2577
"(-32, 35)",2567
"(-16, 23)",2567
"(-23, 29)",2550
"(-14, 30)",2546
"(-21, 21)",2544
"(-9, 12)",2536
"(-8, 12)",2525
"(-27, 27)",2521
"(-11, 19)",2507
"(-28, 37)",2493
"(-14, 17)",2490
"(-22, 32)",2489
"(0, 0)",2482
"(-21, 28)",2478
"(-12, 14)",2444
"(-15, 12)",2432
"(-16, 30)",2432
"(-24, 28)",2423
"(-20, 20)",2419
"(-12, 24)",2418
"(-9, 25)",2385
"(-25, 34)",2383
"(-29, 35)",2358
"(-28, 29)",2354
"(-25, 27)",2325
"(-7, 9)",2317
"(-22, 29)",2307
"(-17, 20)",2301
"(-14, 25)",2289
"(-9, 22)",2285
"(-9, 10)",2273
"(-11, 20)",2246
"(-27, 34)",2243
"(-28, 31)",2238
"(-15, 40)",2237
"(-29, 36)",2221
"(-23, 20)",2217
"(-18, 24)",2211
"(-2, 2)",2208
"(-31, 35)",2191
"(-26, 32)",2157
"(-25, 33)",2146
"(-19, 14)",2144
"(-21, 29)",2141
"(-26, 30)",2122
"(-15, 10)",2120
"(-24, 21)",2120
"(-13, 37)",2118
"(-22, 30)",2116
"(-20, 32)",2113
"(-10, 21)",2104
"(-25, 29)",2100
"(-11, 16)",2094
"(-22, 31)",2092
"(-21, 32)",2071
"(-12, 20)",2055
"(-23, 33)",2043
"(-19, 31)",2025
"(-23, 32)",2015
"(-2, 0)",2000
"(-17, 17)",1998
"(-13, 21)",1979
"(-24, 37)",1976
"(-25, 31)",1969
"(-23, 19)",1958
"(-27, 30)",1950
"(-12, 19)",1948
"(-12, 18)",1948
"(-21, 30)",1939
"(-6, 20)",1932
"(-9, 18)",1931
"(-7, 5)",1926
"(-2, 5)",1916
"(-11, 23)",1912
"(-27, 25)",1904
"(-16, 20)",1899
"(-29, 37)",1889
"(-14, 33)",1880
"(-27, 37)",1877
"(-21, 34)",1877
"(-30, 34)",1875
"(-20, 30)",1874
"(-32, 42)",1868
"(-6, 17)",1857
"(-13, 31)",1850
"(-28, 39)",1846
"(-28, 25)",1838
"(-13, 19)",1832
"(-24, 24)",1830
"(-32, 34)",1810
"(-11, 22)",1805
"(-7, 15)",1805
"(-15, 30)",1797
"(-25, 21)",1778
"(0, 1)",1773
"(-36, 42)",1772
"(-17, 22)",1770
"(-11, 26)",1769
"(-14, 23)",1762
"(-14, 22)",1761
"(-8, 9)",1737
"(-2, 4)",1731
"(-13, 32)",1730
"(-11, 25)",1722
"(-26, 24)",1720
"(-11, 29)",1717
"(-9, 19)",1696
"(-18, 18)",1688
"(-5, 5)",1687
"(-23, 24)",1684
"(-13, 25)",1682
"(-33, 38)",1655
"(-14, 34)",1654
"(-12, 26)",1652
"(-27, 29)",1639
"(-18, 30)",1636
"(-14, 20)",1633
"(-8, 16)",1632
"(0, 2)",1630
"(-12, 30)",1627
"(-25, 20)",1616
"(-8, 24)",1613
"(-12, 11)",1613
"(-10, 32)",1603
"(-7, 7)",1600
"(-12, 25)",1592
"(-11, 27)",1570
"(-14, 35)",1568
"(-16, 29)",1565
"(-16, 15)",1559
"(-7, 14)",1559
"(-24, 22)",1553
"(-5, 2)",1543
"(-45, 45)",1539
"(-9, 27)",1531
"(-33, 39)",1529
"(-13, 20)",1519
"(-12, 28)",1501
"(-12, 29)",1497
"(-25, 35)",1491
"(-29, 39)",1485
"(-20, 33)",1483
"(-2, 7)",1461
"(-13, 34)",1446
"(-9, 20)",1438
"(-16, 21)",1438
"(-23, 22)",1436
"(-28, 24)",1429
"(-12, 12)",1429
"(-8, 17)",1427
"(-25, 25)",1424
"(-13, 27)",1419
"(-15, 14)",1417
"(-1, 4)",1410
"(-17, 16)",1396
"(-4, 5)",1390
"(-20, 18)",1388
"(-7, 12)",1384
"(-27, 28)",1378
"(-46, 45)",1370
"(-7, 20)",1361
"(1, 0)",1361
"(-10, 16)",1357
"(-33, 40)",1353
"(-8, 8)",1349
"(-11, 30)",1332
"(-4, 3)",1329
"(-12, 35)",1325
"(-26, 27)",1307
"(-4, 2)",1305
"(-17, 30)",1304
"(-5, 9)",1303
"(-14, 26)",1275
"(-5, 4)",1267
"(-6, 2)",1266
"(-9, 24)",1265
"(-30, 32)",1263
"(-4, 4)",1258
"(-15, 21)",1248
"(-8, 6)",1247
"(-7, 17)",1246
"(-17, 32)",1243
"(-22, 19)",1237
"(-6, 22)",1225
"(-10, 28)",1220
"(-19, 16)",1211
"(-35, 42)",1210
"(-11, 35)",1198
"(-29, 29)",1192
"(-12, 9)",1189
"(-3, 7)",1187
"(-26, 26)",1187
"(-9, 7)",1187
"(-6, 19)",1181
"(-14, 12)",1180
"(-12, 10)",1180
"(-6, 8)",1177
"(-35, 40)",1175
"(-5, 10)",1170
"(2, 0)",1163
"(-16, 38)",1163
"(-18, 17)",1160
"(-34, 39)",1158
"(-20, 35)",1156
"(-11, 10)",1140
"(-27, 39)",1139
"(-6, 11)",1135
"(-16, 31)",1130
"(-15, 11)",1128
"(-11, 9)",1126
"(-14, 27)",1123
"(-14, 14)",1122
"(-13, 35)",1114
"(-12, 32)",1112
"(-26, 22)",1110
"(-5, 6)",1109
"(-24, 19)",1097
"(-8, 15)",1089
"(-11, 32)",1083
"(-1, 3)",1070
"(-7, 19)",1068
"(-14, 29)",1062
"(-30, 39)",1050
"(-8, 22)",1048
"(-25, 24)",1041
"(-29, 32)",1031
"(-14, 9)",1025
"(-28, 38)",1005
"(-23, 23)",1004
"(-37, 40)",998
"(-16, 22)",986
"(-4, 7)",981
"(-5, 7)",978
"(-4, 10)",974
"(-13, 12)",969
"(-15, 23)",967
"(-17, 37)",963
"(0, 4)",963
"(-38, 43)",957
"(-2, 6)",946
"(-37, 44)",941
"(-37, 41)",937
"(-18, 15)",937
"(-1, 0)",934
"(-31, 32)",930
"(-3, 2)",930
"(-2, 9)",930
"(-30, 29)",921
"(-17, 15)",915
"(-8, 20)",910
"(-17, 25)",899
"(-6, 24)",896
"(-7, 23)",884
"(-46, 44)",883
"(-19, 37)",869
"(-3, 5)",867
"(-3, 9)",863
"(-8, 19)",857
"(-19, 35)",855
"(-5, 12)",852
"(-12, 16)",850
"(-34, 40)",849
"(-30, 40)",848
"(-20, 22)",844
"(-14, 10)",843
"(-29, 26)",841
"(-8, 13)",834
"(-4, 9)",834
"(-16, 32)",829
"(-23, 35)",826
"(-16, 13)",823
"(-22, 35)",822
"(-1, 5)",821
"(-7, 3)",815
"(-12, 34)",810
"(-3, 1)",801
"(0, 3)",796
"(-20, 16)",784
"(-26, 36)",777
"(-13, 16)",770
"(-5, 15)",767
"(-28, 42)",765
"(-11, 18)",764
"(-10, 37)",754
"(-17, 14)",752
"(-34, 41)",751
"(-23, 37)",750
"(-24, 39)",745
"(-31, 30)",743
"(-17, 18)",736
"(-16, 37)",735
"(-13, 18)",729
"(-41, 44)",729
"(-14, 21)",722
"(-14, 18)",721
"(-9, 29)",718
"(-50, 45)",714
"(-13, 10)",713
"(-5, 14)",713
"(-2, 15)",709
"(-41, 45)",706
"(-39, 42)",704
"(-3, 6)",702
"(-32, 30)",700
"(-3, 10)",698
"(-36, 40)",697
"(-10, 13)",694
"(-17, 33)",693
"(-15, 16)",684
"(-26, 37)",679
"(0, 5)",675
"(-7, 24)",674
"(-2, 8)",672
"(-26, 39)",672
"(-9, 13)",670
"(-1, 7)",657
"(-2, 12)",647
"(-48, 45)",646
"(-1, 2)",643
"(-9, 5)",642
"(-40, 44)",642
"(-10, 18)",635
"(-34, 37)",633
"(-7, 25)",632
"(-6, 18)",627
"(-9, 16)",622
"(-4, 12)",620
"(-18, 26)",614
"(-6, 25)",613
"(-29, 30)",612
"(-18, 34)",609
"(-38, 42)",605
"(-21, 23)",604
"(-15, 42)",601
"(-29, 40)",601
"(-46, 42)",583
"(-8, 11)",582
"(-2, 10)",579
"(-20, 21)",573
"(-16, 41)",572
"(-39, 44)",570
"(-19, 21)",570
"(-20, 23)",568
"(-27, 24)",566
"(-7, 21)",563
"(-17, 12)",561
"(-19, 39)",559
"(-3, 8)",559
"(-18, 14)",557
"(-22, 23)",553
"(-35, 39)",553
"(-33, 37)",553
"(-6, 13)",550
"(-44, 44)",547
"(-49, 45)",537
"(-24, 38)",537
"(-13, 23)",533
"(1, 1)",531
"(-21, 35)",530
"(-17, 34)",527
"(-22, 37)",525
"(-12, 38)",525
"(-4, 14)",523
"(-19, 26)",519
"(-12, 21)",517
"(-28, 22)",514
"(-4, 8)",506
"(-5, 11)",505
"(-20, 17)",504
"(-22, 17)",503
"(-16, 35)",503
"(-25, 40)",499
"(-37, 39)",498
"(-32, 32)",498
"(-18, 35)",496
"(-11, 8)",495
"(-7, 27)",493
"(-30, 28)",489
"(-5, 8)",489
"(-25, 39)",488
"(-41, 42)",488
"(-39, 45)",485
"(-24, 26)",482
"(-16, 18)",482
"(-10, 34)",476
"(-11, 13)",473
"(-27, 40)",469
"(-34, 42)",467
"(-41, 39)",464
"(-8, 27)",462
"(-14, 42)",460
"(-31, 31)",456
"(-4, 0)",455
"(-4, 6)",450
"(-6, 27)",450
"(-30, 25)",449
"(-32, 33)",447
"(-13, 9)",442
"(-1, 6)",439
"(-36, 39)",436
"(-43, 45)",435
"(-31, 44)",434
"(-46, 40)",433
"(-33, 31)",432
"(-18, 12)",432
"(-32, 29)",431
"(-13, 39)",430
"(-45, 42)",430
"(-16, 12)",429
"(-16, 16)",424
"(-10, 35)",423
"(-16, 26)",422
"(-3, 12)",422
"(-31, 41)",421
"(-32, 44)",417
"(-4, 15)",417
"(-5, 16)",417
"(-11, 33)",415
"(-7, 8)",415
"(-11, 21)",413
"(-26, 19)",411
"(-17, 23)",410
"(-29, 42)",405
"(-10, 6)",405
"(-3, 4)",400
"(-26, 20)",399
"(-29, 24)",396
"(-43, 44)",394
"(-4, 13)",393
"(-44, 45)",391
"(-30, 42)",390
"(-41, 49)",387
"(-5, 20)",386
"(-31, 27)",386
"(-18, 21)",384
"(-19, 28)",384
"(-6, 1)",383
"(-45, 39)",377
"(-40, 49)",377
"(-27, 21)",375
"(-37, 45)",374
"(-21, 17)",371
"(-5, 13)",371
"(-12, 13)",369
"(-50, 44)",367
"(0, 6)",366
"(-21, 14)",364
"(-14, 39)",362
"(-29, 27)",362
"(-2, 3)",362
"(-37, 37)",361
"(-40, 42)",361
"(-49, 44)",358
"(-39, 49)",358
"(-22, 39)",358
"(-14, 40)",358
"(-20, 28)",357
"(1, 2)",356
"(2, 2)",354
"(-35, 34)",354
"(0, 7)",352
"(-3, 14)",350
"(-10, 39)",350
"(-20, 15)",350
"(-41, 43)",349
"(-42, 45)",349
"(-4, 11)",348
"(-21, 36)",346
"(-2, 14)",344
"(-28, 44)",341
"(-36, 37)",339
"(-21, 20)",339
"(-4, 17)",338
"(-5, 17)",335
"(-20, 37)",334
"(-41, 47)",334
"(-17, 21)",333
"(-22, 26)",333
"(-30, 27)",332
"(-3, 15)",331
"(-31, 42)",330
"(-27, 22)",329
"(-31, 29)",328
"(-36, 45)",328
"(-27, 42)",325
"(-45, 44)",324
"(3, 0)",323
"(-21, 26)",323
"(-19, 13)",321
"(-10, 47)",319
"(-40, 45)",318
"(-17, 35)",318
"(-28, 41)",317
"(-41, 40)",316
"(-2, 17)",316
"(-13, 13)",316
"(-19, 40)",314
"(-32, 43)",312
"(-26, 40)",311
"(-36, 38)",311
"(-44, 39)",311
"(-33, 42)",309
"(-10, 5)",306
"(-3, 0)",306
"(-28, 45)",303
"(-36, 44)",302
"(-5, 0)",300
"(-21, 38)",299
"(-35, 37)",296
"(-15, 26)",294
"(-8, 29)",294
"(-32, 52)",292
"(-34, 31)",292
"(-18, 23)",291
"(-20, 29)",288
"(-38, 47)",288
"(-47, 44)",287
"(-10, 11)",286
"(0, 9)",285
"(-6, 28)",285
"(-38, 39)",283
"(-46, 39)",282
"(-24, 40)",282
"(-41, 37)",281
"(-33, 35)",280
"(-19, 38)",279
"(-25, 28)",278
"(-8, 7)",272
"(-5, 19)",270
"(-41, 35)",268
"(-6, 0)",266
"(-23, 39)",264
"(-45, 47)",261
"(-38, 45)",261
"(-39, 46)",259
"(-25, 26)",259
"(-2, -2)",259
"(-38, 40)",257
"(-45, 40)",257
"(-18, 28)",255
"(-16, 42)",255
"(-46, 47)",254
"(-9, 32)",253
"(2, 4)",253
"(-44, 42)",252
"(-28, 47)",252
"(-10, 40)",252
"(-40, 41)",251
"(-34, 34)",251
"(-38, 44)",250
"(-18, 36)",249
"(-10, 31)",249
"(1, 5)",246
"(-35, 43)",246
"(-42, 42)",245
"(-29, 45)",245
"(-23, 40)",244
"(-37, 49)",244
"(-20, 39)",240
"(-12, 23)",240
"(-42, 44)",238
"(-47, 39)",238
"(-31, 51)",237
"(-37, 32)",237
"(-6, 6)",237
"(-3, 3)",235
"(-33, 32)",233
"(-31, 49)",232
"(-1, 9)",231
"(-49, 40)",230
"(-33, 44)",228
"(-29, 43)",226
"(-17, 39)",226
"(2, 1)",225
"(-6, 29)",225
"(-24, 42)",224
"(-27, 19)",223
"(-29, 25)",221
"(-23, 28)",221
"(-40, 47)",221
"(-35, 47)",221
"(-8, 4)",220
"(-32, 47)",220
"(-11, 11)",220
"(-19, 41)",220
"(-41, 52)",217
"(-37, 50)",216
"(-18, 11)",216
"(-40, 51)",216
"(-22, 28)",215
"(-51, 45)",214
"(-23, 31)",214
"(-23, 42)",213
"(-24, 31)",213
"(-31, 25)",213
"(-9, 30)",213
"(-1, 1)",213
"(-11, 37)",212
"(-43, 49)",212
"(-49, 47)",211
"(-3, 17)",210
"(-7, 29)",208
"(-21, 39)",208
"(-19, 42)",207
"(-48, 47)",207
"(-28, 20)",207
"(-41, 46)",206
"(-24, 17)",206
"(-44, 40)",206
"(-4, 19)",206
"(-43, 40)",206
"(-30, 44)",204
"(-29, 22)",203
"(-7, 6)",203
"(-25, 30)",203
"(-1, 12)",203
"(-1, 14)",202
"(-19, 44)",201
"(-5, 24)",201
"(-16, 14)",201
"(-11, 47)",201
"(-47, 46)",201
"(-37, 34)",200
"(-26, 28)",200
"(-34, 44)",199
"(-33, 34)",199
"(-37, 47)",196
"(-35, 36)",196
"(-47, 45)",195
"(-32, 49)",193
"(-24, 33)",193
"(-13, 44)",192
"(-15, 43)",190
"(-9, 4)",189
"(-48, 44)",189
"(-46, 37)",189
"(-3, 11)",189
"(-12, 42)",187
"(-36, 35)",187
"(-1, 10)",186
"(-38, 49)",186
"(-30, 49)",185
"(-43, 41)",185
"(-38, 46)",184
"(-35, 32)",184
"(-11, 7)",182
"(-38, 51)",181
"(-5, 22)",181
"(-4, 20)",180
"(-39, 39)",180
"(-18, 39)",179
"(-35, 44)",179
"(-25, 32)",179
"(-40, 40)",178
"(-52, 41)",177
"(-27, 20)",177
"(-37, 35)",177
"(-34, 35)",177
"(-42, 40)",176
"(-2, 13)",175
"(0, 8)",175
"(-2, 19)",172
"(-6, 26)",172
"(-50, 40)",170
"(-7, 30)",168
"(-43, 39)",167
"(-39, 40)",167
