-15,104096
-10,95186
-19,90083
-24,53573
-14,49177
-18,47956
-6,45675
-28,45350
-13,42725
-12,42456
-11,40942
-16,40370
-22,40038
-9,39541
-17,38402
-23,37981
-21,35066
-20,32866
-7,31221
-8,26315
-27,25986
-32,25088
-26,21150
-25,21098
-31,19956
-29,17588
-2,16506
-5,15506
-30,14577
-4,13120
0,10660
-3,9646
-37,9377
-33,7717
-1,7668
-34,5916
-36,5651
-41,5585
-35,5378
-46,4829
-45,3949
-38,3872
-39,3805
-40,3467
1,3279
2,3064
-44,2706
-43,2639
-42,1953
-50,1914
-49,1791
-48,1655
-47,1358
3,765
-51,561
-52,455
4,382
6,379
-53,329
-54,317
5,306
7,207
8,167
10,164
9,131
-55,94
11,91
12,79
13,53
14,48
-56,38
-57,34
-58,24
15,23
16,23
19,19
17,16
20,7
21,7
18,6
22,6
24,6
-59,5
23,4
29,3
-127,3
25,2
26,2
27,2
-60,2
28,1
30,1
32,1
34,1
36,1
39,1
-63,1
